grid,task,model,model_full,k,variant,retriever,n,n_items,n_parsed,parse_failures,parse_failure_rate,headline_metric,headline_value,accuracy,macro_f1,mean_effective_k,mean_prompt_chars,mean_input_tokens,mean_output_tokens,accuracy_lo,accuracy_hi,accuracy_se,macro_f1_lo,macro_f1_hi,macro_f1_se,mae,rmse,mae_lo,mae_hi,mae_se,rmse_lo,rmse_hi,rmse_se,rouge_1,rouge_L,rouge_1_lo,rouge_1_hi,rouge_1_se,rouge_L_lo,rouge_L_hi,rouge_L_se
A,LaMP-1,haiku,claude-haiku-4-5-20251001,0,direct,bm25,99,99,99,0,0.0,accuracy,0.4444444444444444,0.4444444444444444,0.4387176579734048,0.0,916.4343434343434,3690.161616161616,6.0,0.3434343434343434,0.5454545454545454,0.050649361035108406,0.3409664498901761,0.5349264705882353,0.05041421029842156,,,,,,,,,,,,,,,,
A,LaMP-1,haiku,claude-haiku-4-5-20251001,1,direct,bm25,99,99,99,0,0.0,accuracy,0.48484848484848486,0.48484848484848486,0.47716682199440824,1.0,1964.3939393939395,3906.161616161616,6.0,0.3838383838383838,0.5858585858585859,0.050034963175921286,0.3774378268946288,0.5716999050332383,0.0499229836708162,,,,,,,,,,,,,,,,
A,LaMP-1,haiku,claude-haiku-4-5-20251001,2,direct,bm25,99,99,99,0,0.0,accuracy,0.5151515151515151,0.5151515151515151,0.5066445182724253,2.0,3006.7373737373737,4119.727272727273,6.0,0.41414141414141414,0.6161616161616161,0.05080821160407745,0.40386050010817603,0.6046284989014973,0.05048057141044355,,,,,,,,,,,,,,,,
A,LaMP-1,haiku,claude-haiku-4-5-20251001,4,direct,bm25,99,99,99,0,0.0,accuracy,0.5050505050505051,0.5050505050505051,0.5032258064516129,4.0,5077.181818181818,4552.242424242424,6.0,0.40404040404040403,0.5962121212121197,0.050147664535117625,0.4001232412447366,0.5955882352941176,0.050104860356839004,,,,,,,,,,,,,,,,
A,LaMP-1,haiku,claude-haiku-4-5-20251001,8,direct,bm25,99,99,99,0,0.0,accuracy,0.5656565656565656,0.5656565656565656,0.5656565656565656,8.0,9201.929292929293,5413.80808080808,6.0,0.46464646464646464,0.6666666666666666,0.05018899902673882,0.4626728110599079,0.6632857746149023,0.05033410552328903,,,,,,,,,,,,,,,,
A,LaMP-1,haiku,claude-haiku-4-5-20251001,16,direct,bm25,99,99,98,1,0.010101010101010102,accuracy,0.6224489795918368,0.6224489795918368,0.6220948410630536,16.0,17429.343434343435,7098.383838383838,6.0606060606060606,0.5204081632653061,0.717211174242424,0.05077158289266596,0.519938266033899,0.7169175420168067,0.05095298957239961,,,,,,,,,,,,,,,,
A,LaMP-1,haiku,claude-haiku-4-5-20251001,32,direct,bm25,99,99,99,0,0.0,accuracy,0.5959595959595959,0.5959595959595959,0.5955882352941176,32.0,33820.07070707071,10422.181818181818,6.0,0.494949494949495,0.696969696969697,0.050224891093067235,0.4944852941176471,0.6954470877768663,0.050513298754032945,,,,,,,,,,,,,,,,
A,LaMP-1,opus,claude-opus-4-5-20251101,0,direct,bm25,99,99,99,0,0.0,accuracy,0.42424242424242425,0.42424242424242425,0.42424242424242425,0.0,916.4343434343434,3690.161616161616,6.0,0.32323232323232326,0.5151515151515151,0.049554391076620206,0.3229560069409003,0.5151020408163265,0.049621708536047096,,,,,,,,,,,,,,,,
A,LaMP-1,opus,claude-opus-4-5-20251101,1,direct,bm25,99,99,99,0,0.0,accuracy,0.46464646464646464,0.46464646464646464,0.46442788608757785,1.0,1964.3939393939395,3906.161616161616,6.0,0.36363636363636365,0.5656565656565656,0.05046071368338779,0.3612903225806452,0.5640552995391706,0.050614735403003236,,,,,,,,,,,,,,,,
A,LaMP-1,opus,claude-opus-4-5-20251101,2,direct,bm25,99,99,99,0,0.0,accuracy,0.5353535353535354,0.5353535353535354,0.5330188679245282,2.0,3006.7373737373737,4119.727272727273,6.0,0.43434343434343436,0.6262626262626263,0.05020470850550758,0.42727272727272725,0.6248847926267281,0.050379188094316026,,,,,,,,,,,,,,,,
A,LaMP-1,opus,claude-opus-4-5-20251101,4,direct,bm25,99,99,99,0,0.0,accuracy,0.5959595959595959,0.5959595959595959,0.5959183673469388,4.0,5077.181818181818,4552.242424242424,6.0,0.494949494949495,0.6868686868686869,0.04940666028701716,0.49362678468573823,0.686356668369954,0.049654368957351126,,,,,,,,,,,,,,,,
A,LaMP-1,opus,claude-opus-4-5-20251101,8,direct,bm25,99,99,99,0,0.0,accuracy,0.5858585858585859,0.5858585858585859,0.5856894967847301,8.0,9201.929292929293,5413.80808080808,6.0,0.48484848484848486,0.6767676767676768,0.0508421110223498,0.48141601894760716,0.676734693877551,0.05112360072814232,,,,,,,,,,,,,,,,
A,LaMP-1,opus,claude-opus-4-5-20251101,16,direct,bm25,99,99,99,0,0.0,accuracy,0.6161616161616161,0.6161616161616161,0.6142329778506973,16.0,17429.343434343435,7098.383838383838,6.0,0.5151515151515151,0.7171717171717171,0.050729904815528935,0.5127104480267255,0.7105683904528761,0.05115381068146033,,,,,,,,,,,,,,,,
