task,metric,n_paired,delta,delta_lo,delta_hi,delta_se,p_boot,family,model_s,k_hi,k_lo,model_hi,model_lo,sig,q_cot,gain,gain_lo,gain_hi,ceiling_bm25,ceiling_recency,resolved,n_boot,seed
LaMP-1,accuracy,99,0.04040404040404044,-0.0505050505050505,0.13131313131313133,0.045661848899068394,0.432,signal_vs_k0,haiku,1.0,0.0,haiku,haiku,,,,,,,,0,2000,12345
LaMP-1,accuracy,99,0.07070707070707072,-0.02020202020202022,0.16161616161616166,0.04802159866036767,0.177,signal_vs_k0,haiku,2.0,0.0,haiku,haiku,,,,,,,,0,2000,12345
LaMP-1,accuracy,99,0.06060606060606066,-0.04040404040404044,0.16161616161616166,0.05317783617908474,0.27,signal_vs_k0,haiku,4.0,0.0,haiku,haiku,,,,,,,,0,2000,12345
LaMP-1,accuracy,99,0.12121212121212122,0.02020202020202022,0.22222222222222227,0.052609690777390736,0.024,signal_vs_k0,haiku,8.0,0.0,haiku,haiku,,,,,,,,1,2000,12345
LaMP-1,accuracy,99,0.17800453514739234,0.08072916666666664,0.2828282828282828,0.053077193958111696,0.0005,signal_vs_k0,haiku,16.0,0.0,haiku,haiku,,,,,,,,1,2000,12345
LaMP-1,accuracy,99,0.1515151515151515,0.0505050505050505,0.2626262626262626,0.054438937205233684,0.007,signal_vs_k0,haiku,32.0,0.0,haiku,haiku,,,,,,,,1,2000,12345
LaMP-1,accuracy,97,0.041237113402061876,-0.04123711340206182,0.12371134020618557,0.041528119218139106,0.365,signal_vs_k0,sonnet,1.0,0.0,sonnet,sonnet,,,,,,,,0,2000,12345
LaMP-1,accuracy,97,0.1030927835051546,0.010051546391752555,0.19587628865979384,0.04929296032294096,0.05,signal_vs_k0,sonnet,2.0,0.0,sonnet,sonnet,,,,,,,,1,2000,12345
LaMP-1,accuracy,97,0.17525773195876293,0.07216494845360821,0.27835051546391754,0.05295022185173637,0.003,signal_vs_k0,sonnet,4.0,0.0,sonnet,sonnet,,,,,,,,1,2000,12345
LaMP-1,accuracy,97,0.22680412371134018,0.12371134020618557,0.32989690721649484,0.05236319373977659,0.0005,signal_vs_k0,sonnet,8.0,0.0,sonnet,sonnet,,,,,,,,1,2000,12345
LaMP-1,accuracy,97,0.19587628865979378,0.09278350515463918,0.2989690721649484,0.05053887515568916,0.0005,signal_vs_k0,sonnet,16.0,0.0,sonnet,sonnet,,,,,,,,1,2000,12345
LaMP-1,accuracy,97,0.23711340206185572,0.12371134020618557,0.35051546391752575,0.05531367729917537,0.0005,signal_vs_k0,sonnet,32.0,0.0,sonnet,sonnet,,,,,,,,1,2000,12345
LaMP-1,accuracy,99,0.04040404040404039,-0.04040404040404044,0.12121212121212122,0.039962631645874096,0.351,signal_vs_k0,opus,1.0,0.0,opus,opus,,,,,,,,0,2000,12345
LaMP-1,accuracy,99,0.1111111111111111,0.030303030303030276,0.19217171717171586,0.04263555817300983,0.017,signal_vs_k0,opus,2.0,0.0,opus,opus,,,,,,,,1,2000,12345
LaMP-1,accuracy,99,0.17171717171717166,0.08080808080808083,0.2626262626262626,0.044179702810170196,0.0005,signal_vs_k0,opus,4.0,0.0,opus,opus,,,,,,,,1,2000,12345
LaMP-1,accuracy,99,0.1616161616161616,0.07070707070707077,0.2525252525252525,0.04441057507927771,0.0005,signal_vs_k0,opus,8.0,0.0,opus,opus,,,,,,,,1,2000,12345
LaMP-1,accuracy,99,0.19191919191919188,0.11111111111111105,0.27272727272727276,0.043871315779387285,0.0005,signal_vs_k0,opus,16.0,0.0,opus,opus,,,,,,,,1,2000,12345
LaMP-1,accuracy,99,0.14141414141414138,0.06060606060606061,0.2222222222222222,0.04131082717767482,0.001,signal_vs_k0,opus,32.0,0.0,opus,opus,,,,,,,,1,2000,12345
LaMP-2,macro_f1,99,-0.06278091275769293,-0.14813062732287427,0.03420328627853856,0.04553959034335318,0.253,signal_vs_k0,haiku,1.0,0.0,haiku,haiku,,,,,,,,0,2000,12345
LaMP-2,macro_f1,90,-0.023063353822367183,-0.10805068697421304,0.09523993267216763,0.05163562682544509,0.859,signal_vs_k0,haiku,2.0,0.0,haiku,haiku,,,,,,,,0,2000,12345
LaMP-2,macro_f1,99,-0.04077360633862187,-0.13010434957995934,0.07984770926664504,0.053315786943455235,0.668,signal_vs_k0,haiku,4.0,0.0,haiku,haiku,,,,,,,,0,2000,12345
LaMP-2,macro_f1,99,-0.026177055101203772,-0.10596815576574709,0.07844164571792561,0.04751998813218152,0.809,signal_vs_k0,haiku,8.0,0.0,haiku,haiku,,,,,,,,0,2000,12345
