task,metric,n_paired,delta,delta_lo,delta_hi,delta_se,p_boot,control,k,q_cot,gain,gain_lo,gain_hi,sig,n_boot,n,ceiling_bm25,ceiling_recency,diff,lo,hi
LaMP-1,accuracy,99.0,-0.04040404040404039,-0.13131313131313133,0.0505050505050505,0.04635101202893224,0.453,cot_vs_direct,0.0,0.40404040404040403,-0.04040404040404039,-0.13131313131313133,0.0505050505050505,,2000.0,,,,,,
LaMP-1,accuracy,99.0,0.06637806637806631,-0.046070820067310544,0.1842340935124439,0.05784384630202759,0.257,cot_vs_direct,4.0,0.5714285714285714,0.06637806637806631,-0.046070820067310544,0.1842340935124439,,2000.0,,,,,,
LaMP-1,accuracy,99.0,-0.008330729980214446,-0.14078432178540692,0.1252733520774757,0.06801153296874414,0.927,cot_vs_direct,32.0,0.5876288659793815,-0.008330729980214446,-0.14078432178540692,0.1252733520774757,,2000.0,,,,,,
LaMP-2,macro_f1,99.0,-0.08157100667936584,-0.15240170507034215,0.023809666151634625,0.046133394906393885,0.147,cot_vs_direct,0.0,0.33843707977608906,-0.08157100667936584,-0.15240170507034215,0.023809666151634625,,2000.0,,,,,,
LaMP-2,macro_f1,99.0,0.05491285403050111,-0.03099124189286947,0.1312202609914508,0.04132398762710023,0.233,cot_vs_direct,4.0,0.43414733414733414,0.05491285403050111,-0.03099124189286947,0.1312202609914508,,2000.0,,,,,,
LaMP-2,macro_f1,99.0,-0.08160152599711168,-0.15290889635638946,-0.0032978463983365895,0.038492468842807506,0.042,cot_vs_direct,32.0,0.32211299534898863,-0.08160152599711168,-0.15290889635638946,-0.0032978463983365895,*,2000.0,,,,,,
LaMP-3,mae,99.0,-0.04040404040404039,-0.12121212121212122,0.04040404040404039,0.04085154693831733,0.41,cot_vs_direct,0.0,-0.41414141414141414,0.04040404040404039,-0.04040404040404039,0.12121212121212122,,2000.0,,,,,,
LaMP-3,mae,99.0,0.12121212121212124,0.0,0.23232323232323235,0.060477844104969036,0.055,cot_vs_direct,4.0,-0.32323232323232326,-0.12121212121212124,-0.23232323232323235,-0.0,,2000.0,,,,,,
LaMP-3,mae,39.0,0.4871794871794872,0.17948717948717952,0.8461538461538461,0.16771071312533026,0.0005,cot_vs_direct,32.0,-0.5897435897435898,-0.4871794871794872,-0.8461538461538461,-0.17948717948717952,*,2000.0,,,,,,
LaMP-5,rouge_1,99.0,0.06492363156191427,0.03396392580469974,0.09665770480696032,0.016170838183293172,0.0005,cot_vs_direct,0.0,0.4568187607922816,0.06492363156191427,0.03396392580469974,0.09665770480696032,*,2000.0,,,,,,
LaMP-5,rouge_1,99.0,-0.1646013753854365,-0.21576872517202156,-0.11224934143878745,0.026630340723676593,0.0005,cot_vs_direct,32.0,0.2528688575511562,-0.1646013753854365,-0.21576872517202156,-0.11224934143878745,*,2000.0,,,,,,
LaMP-1,accuracy,99.0,0.07185254607935021,-0.030303030303030276,0.1805631977671451,0.054165125361363774,0.174,recency_vs_bm25,1.0,,0.07185254607935021,-0.030303030303030276,0.1805631977671451,,2000.0,,,,,,
LaMP-1,accuracy,99.0,0.010101010101010166,-0.08106060606060612,0.101010101010101,0.0477469907833608,0.939,recency_vs_bm25,2.0,,0.010101010101010166,-0.08106060606060612,0.101010101010101,,2000.0,,,,,,
LaMP-1,accuracy,99.0,0.04040404040404033,-0.06060606060606055,0.14141414141414138,0.0499999410479303,0.461,recency_vs_bm25,4.0,,0.04040404040404033,-0.06060606060606055,0.14141414141414138,,2000.0,,,,,,
LaMP-1,accuracy,99.0,-0.02020202020202022,-0.12121212121212116,0.08080808080808077,0.05016992695507127,0.744,recency_vs_bm25,8.0,,-0.02020202020202022,-0.12121212121212116,0.08080808080808077,,2000.0,,,,,,
LaMP-1,accuracy,99.0,-0.05102040816326536,-0.1565733869305298,0.04628169449598017,0.052142186640907105,0.332,recency_vs_bm25,16.0,,-0.05102040816326536,-0.1565733869305298,0.04628169449598017,,2000.0,,,,,,
LaMP-1,accuracy,99.0,0.027696318018898713,-0.06060606060606055,0.11048185660957402,0.043070377278975336,0.546,recency_vs_bm25,32.0,,0.027696318018898713,-0.06060606060606055,0.11048185660957402,,2000.0,,,,,,
LaMP-2,macro_f1,99.0,-0.020891437822384118,-0.09957781526746132,0.06846965016667914,0.04350645663030526,0.716,recency_vs_bm25,1.0,,-0.020891437822384118,-0.09957781526746132,0.06846965016667914,,2000.0,,,,,,
LaMP-2,macro_f1,90.0,-0.04682187023743001,-0.12887724583741406,0.034998159438845364,0.04125460302031592,0.249,recency_vs_bm25,2.0,,-0.04682187023743001,-0.12887724583741406,0.034998159438845364,,2000.0,,,,,,
LaMP-2,macro_f1,99.0,-0.045352283701429796,-0.12300733516364445,0.029337312098434327,0.03820060701908616,0.21,recency_vs_bm25,4.0,,-0.045352283701429796,-0.12300733516364445,0.029337312098434327,,2000.0,,,,,,
LaMP-2,macro_f1,99.0,-0.0017187536537381365,-0.08305513820643522,0.07245088369860184,0.04007550881544672,0.848,recency_vs_bm25,8.0,,-0.0017187536537381365,-0.08305513820643522,0.07245088369860184,,2000.0,,,,,,
LaMP-2,macro_f1,99.0,-0.06090063826905928,-0.12698247668882928,0.012742081790053619,0.03568825485078254,0.106,recency_vs_bm25,16.0,,-0.06090063826905928,-0.12698247668882928,0.012742081790053619,,2000.0,,,,,,
LaMP-2,macro_f1,99.0,-0.012093941490226301,-0.06825220006786244,0.04564880644523006,0.030097525156624,0.681,recency_vs_bm25,32.0,,-0.012093941490226301,-0.06825220006786244,0.04564880644523006,,2000.0,,,,,,
LaMP-1,,,,,,,,retriever_ceiling_max_over_k,,,,,,,,99.0,0.6224489795918368,0.6236559139784946,0.0012069343866578652,-0.09934816919191927,0.08740465883323023
LaMP-2,,,,,,,,retriever_ceiling_max_over_k,,,,,,,,90.0,0.40989046165516757,0.38834936726777336,-0.02154109438739421,-0.08029319348879486,0.04058468520689452
