task,k,qid,n_samples,n_parsed,distinct,H,H_norm,det,maj,maj_share,gold,maj_correct,mean_single_correct,mean_single_abserr,maj_abserr
LaMP-2,0,11103,3,3,1,-0.0,-0.0,1,comedy,1.0,comedy,1,1.0,,
LaMP-2,0,11106,3,3,2,0.6365141682948128,0.5793801642856949,0,sci-fi,0.6666666666666666,thought-provoking,0,0.3333333333333333,,
LaMP-2,0,11120,3,3,2,0.6365141682948128,0.5793801642856949,0,dystopia,0.6666666666666666,dystopia,1,0.6666666666666666,,
LaMP-2,0,11121,3,3,1,-0.0,-0.0,1,comedy,1.0,dark comedy,0,0.0,,
LaMP-2,0,11134,3,3,3,1.0986122886681096,0.9999999999999998,0,social commentary,0.3333333333333333,social commentary,1,0.3333333333333333,,
LaMP-2,0,11140,3,3,1,-0.0,-0.0,1,sci-fi,1.0,sci-fi,1,1.0,,
LaMP-2,0,11143,3,3,1,-0.0,-0.0,1,fantasy,1.0,comedy,0,0.0,,
LaMP-2,0,11144,3,3,1,-0.0,-0.0,1,fantasy,1.0,fantasy,1,1.0,,
LaMP-2,0,11145,3,3,2,0.6365141682948128,0.5793801642856949,0,social commentary,0.6666666666666666,twist ending,0,0.0,,
LaMP-2,0,11152,3,3,1,-0.0,-0.0,1,comedy,1.0,comedy,1,1.0,,
LaMP-2,0,11154,3,3,1,-0.0,-0.0,1,dark comedy,1.0,dark comedy,1,1.0,,
LaMP-2,0,11159,3,3,1,-0.0,-0.0,1,psychology,1.0,classic,0,0.0,,
LaMP-2,0,11162,3,3,1,-0.0,-0.0,1,sci-fi,1.0,twist ending,0,0.0,,
LaMP-2,0,11167,3,3,1,-0.0,-0.0,1,sci-fi,1.0,comedy,0,0.0,,
LaMP-2,0,11172,3,3,1,-0.0,-0.0,1,social commentary,1.0,violence,0,0.0,,
LaMP-2,0,11176,3,3,1,-0.0,-0.0,1,sci-fi,1.0,romance,0,0.0,,
LaMP-2,0,11179,3,3,1,-0.0,-0.0,1,action,1.0,comedy,0,0.0,,
LaMP-2,0,11184,3,3,2,0.6365141682948128,0.5793801642856949,0,sci-fi,0.6666666666666666,sci-fi,1,0.6666666666666666,,
LaMP-2,0,11185,3,3,2,0.6365141682948128,0.5793801642856949,0,social commentary,0.6666666666666666,true story,0,0.3333333333333333,,
