task,k,spread,lo,hi,n_items
LaMP-1,0,0.020618556701030966,0.010309278350515427,0.11340206185567014,97
LaMP-1,1,0.030927835051546393,0.010309278350515427,0.11340206185567014,97
LaMP-1,2,0.010309278350515538,0.010309278350515427,0.11340206185567003,97
LaMP-1,4,0.09278350515463918,0.030927835051546393,0.18556701030927836,97
LaMP-1,8,0.07216494845360821,0.020618556701030855,0.1649484536082475,97
LaMP-1,16,0.01675257731958768,0.010309278350515427,0.12018094931271472,97
LaMP-1,32,0.08247422680412375,0.020618556701030966,0.17525773195876293,97
LaMP-2,0,0.09419397971122112,0.016139545071424562,0.1762832572620498,77
LaMP-2,1,0.0426832755058561,0.00997278630697658,0.11494023538204579,77
LaMP-2,2,0.0561079261079262,0.011702479036484428,0.11658620551242786,77
LaMP-2,4,0.06456079867844583,0.016791282914704695,0.1429220478102717,77
LaMP-2,8,0.12168026297058548,0.04103733943009259,0.19104826232438016,77
LaMP-2,16,0.08720057720057706,0.01874340909501841,0.17357412215570778,77
LaMP-2,32,0.08249867358026741,0.03215653872271524,0.1666503908842757,77
LaMP-3,0,0.19999999999999996,0.1157894736842105,0.30526315789473685,95
LaMP-3,1,0.06315789473684211,0.02105263157894735,0.1368421052631579,95
LaMP-3,2,0.08421052631578949,0.031578947368421095,0.15789473684210525,95
LaMP-3,4,0.06315789473684211,0.01052631578947369,0.1368421052631579,95
LaMP-3,8,0.03157894736842107,0.010526315789473675,0.09473684210526315,95
LaMP-3,16,0.06315789473684211,0.01052631578947369,0.15789473684210525,95
LaMP-3,32,0.02105263157894735,0.010526315789473661,0.09473684210526317,95
LaMP-5,0,0.05017470544595354,0.019572854139992255,0.08780663474186595,98
LaMP-5,1,0.021557281615753487,0.0053648832150961796,0.063694873220493,98
LaMP-5,2,0.030346794494769458,0.008590253554290512,0.07523995711422002,98
LaMP-5,8,0.016068646347964066,0.004771010882290797,0.05773706570803297,98
LaMP-5,16,0.029276658926596644,0.0074533905331537545,0.07373599627735283,98
LaMP-5,32,0.05327756088049568,0.021395864178929972,0.09220735868922052,98
