task,stratum,model_s,n,k_max,gain,lo,hi
LaMP-1,short,haiku,33,32,-0.03030303030303033,-0.18181818181818182,0.12121212121212122
LaMP-1,short,sonnet,31,32,0.12903225806451607,-0.032258064516129004,0.2903225806451613
LaMP-1,short,opus,33,32,0.12121212121212122,-0.030303030303030276,0.24242424242424243
LaMP-1,medium,haiku,33,32,0.18181818181818188,0.030303030303030276,0.36363636363636365
LaMP-1,medium,sonnet,33,32,0.18181818181818182,0.0,0.3636363636363637
LaMP-1,medium,opus,33,32,0.030303030303030387,-0.06060606060606066,0.12121212121212122
LaMP-1,long,haiku,33,32,0.3030303030303031,0.09015151515151512,0.5151515151515151
LaMP-1,long,sonnet,33,32,0.3939393939393939,0.21212121212121215,0.5757575757575758
LaMP-1,long,opus,33,32,0.2727272727272727,0.09090909090909094,0.4545454545454546
LaMP-2,short,haiku,33,32,0.09352980352980356,-0.00906065203859322,0.16042330980566277
LaMP-2,short,sonnet,30,32,0.09384319384319384,-0.01603711484593844,0.1656973304473304
LaMP-2,short,opus,33,32,0.0765649165649166,-0.017178932178932124,0.14247696794089978
LaMP-2,medium,haiku,33,32,0.010601250601250611,-0.08000366300366296,0.12924320124320116
LaMP-2,medium,sonnet,33,32,0.17407407407407405,0.054867965367965385,0.2648095238095238
LaMP-2,medium,opus,33,32,0.1645095645095645,0.021546448921448948,0.23495238095238088
LaMP-2,long,haiku,33,32,-0.07952380952380961,-0.1511296296296296,-0.003430495430495401
LaMP-2,long,sonnet,30,32,0.12888888888888894,-0.045398078529657486,0.20289321789321782
LaMP-2,long,opus,33,32,0.1193650793650794,0.011111111111111127,0.19488189588189586
LaMP-3,short,haiku,33,32,0.4848484848484848,0.18181818181818182,0.8181818181818181
LaMP-3,short,sonnet,32,32,0.28125,0.125,0.46875
LaMP-3,short,opus,33,32,0.09090909090909088,-0.09090909090909094,0.2727272727272727
LaMP-3,medium,haiku,33,32,0.24242424242424243,0.06060606060606061,0.4242424242424242
LaMP-3,medium,sonnet,32,32,0.0625,-0.0,0.15625
LaMP-3,medium,opus,33,32,0.12121212121212122,0.030303030303030304,0.24242424242424243
LaMP-3,long,haiku,33,32,0.2121212121212121,0.09090909090909091,0.36363636363636365
LaMP-3,long,sonnet,33,32,0.09090909090909091,-0.030303030303030304,0.21212121212121213
LaMP-3,long,opus,33,32,0.18181818181818182,0.06060606060606061,0.3333333333333333
LaMP-5,short,haiku,33,32,0.05615957543202127,-0.009286256282104818,0.11781655852617005
LaMP-5,short,sonnet,32,32,0.08091688815467668,0.011078138132668466,0.1584992531644561
LaMP-5,short,opus,33,32,0.017088256210125052,-0.05251565539332912,0.09400943844987611
LaMP-5,medium,haiku,33,32,0.006199495734565574,-0.05602471060328442,0.06823097698664854
LaMP-5,medium,sonnet,33,32,0.02030539896146427,-0.06517502112896847,0.10983074565691371
LaMP-5,medium,opus,33,32,-0.03731108899370461,-0.10006949241622991,0.017593028030334544
LaMP-5,long,haiku,33,32,0.014366239952089077,-0.052730645801909844,0.07978512692206864
LaMP-5,long,sonnet,33,32,0.032803844260604675,-0.032771038078517174,0.0955927962517189
LaMP-5,long,opus,33,32,0.0041196146318578375,-0.06390648678416055,0.06908097695530845
